,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
0,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,3.0,70,2.0,119.00,40.00,3
1,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,2.0,0,1.0,317.00,0.00,1
2,House,Entire home/apt,Real Bed,2,30,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,8,3.0,5.0,51,1.0,80.00,15.00,6
3,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,361.00,130.00,2
4,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,96,1.0,115.00,0.00,1
5,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,70,1.0,135.00,0.00,1
6,Apartment,Entire home/apt,Real Bed,4,20,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,3,1.0,2.0,3,1.0,699.00,0.00,1
7,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,6,3.0,3.0,0,1.0,140.00,0.00,1
8,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,5,3.0,3.0,0,1.5,933.00,0.00,1
9,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,2.0,2.0,0,1.0,380.00,0.00,1
10,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,3,1.0,2.0,22,1.0,400.00,0.00,1
11,House,Entire home/apt,Real Bed,2,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,6,2.0,6.0,1,1.0,527.00,211.00,1
12,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,2.0,0,1.0,50.00,31.00,1
13,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,5,2.0,2.0,0,2.0,858.00,75.00,1
14,Hostel,Private room,Real Bed,1,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,0,1.0,40.00,25.00,2
15,Apartment,Entire home/apt,Real Bed,7,180,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,12,1.0,40.00,0.00,2
16,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,1,1.0,966.00,0.00,1
17,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,2.0,2.0,1,1.0,220.00,0.00,1
18,Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,62,1.0,34.00,10.00,1
19,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,2.0,24,2.0,298.00,50.00,2
20,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,0.0,1.0,61,1.0,117.00,20.00,1
21,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,4,2.0,4.0,3,1.0,838.00,0.00,1
22,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,3,1.0,1.0,0,1.0,150.00,0.00,1
23,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,239,1.0,45.00,10.00,1
24,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,2.0,0,1.0,264.00,53.00,1
25,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,9,1.0,330.00,0.00,1
26,Apartment,Entire home/apt,Real Bed,7,7,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,6,2.0,3.0,1,2.0,135.00,0.00,1
27,Apartment,Entire home/apt,Real Bed,2,15,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,6,2.0,5.0,8,2.0,798.00,20.00,4
28,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,8,1.0,8.0,1,4.0,250.00,40.00,4
29,Loft,Entire home/apt,Real Bed,2,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,178,1.0,30.00,0.00,1
30,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,0.0,1.0,64,1.0,181.00,0.00,1
31,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,1,1.0,145.00,0.00,1
32,Apartment,Entire home/apt,Real Bed,3,6,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,9,3.0,4.0,22,1.0,180.00,19.00,4
33,Loft,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,2.0,0,1.0,185.00,0.00,1
34,Apartment,Entire home/apt,Real Bed,2,30,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,6,3.0,3.0,0,3.0,746.00,187.00,4
35,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,2.0,1,1.0,499.00,0.00,1
36,Apartment,Private room,Real Bed,1,15,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,1,2.0,149.00,0.00,1
37,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,81,1.0,181.00,100.00,1
38,Apartment,Private room,Pull-out Sofa,2,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,27,1.0,58.00,60.00,1
39,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,4,1.0,36.00,20.00,2
40,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,4,0.0,2.0,5,1.0,205.00,0.00,1
41,House,Entire home/apt,Real Bed,2,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,0,2.5,250.00,0.00,1
42,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,0,1.0,43.00,12.00,1
43,Apartment,Entire home/apt,Real Bed,2,30,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,109,1.0,185.00,0.00,1
44,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,123,1.0,46.00,10.00,1
45,House,Private room,Real Bed,3,365,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,2.0,8,3.5,64.00,0.00,1
46,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,6,2.0,5.0,0,2.0,997.00,0.00,1
47,Bed and breakfast,Private room,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,3,1.0,2.0,29,1.0,121.00,0.00,1
48,Guesthouse,Private room,Real Bed,1,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,162,1.0,487.00,0.00,1
49,Apartment,Private room,Real Bed,14,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,1,1.0,1.0,1,1.5,40.00,0.00,1
50,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,0,2.0,701.00,0.00,1
51,Apartment,Private room,Real Bed,1,9,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,0,1.0,50.00,0.00,1
52,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,5,2.0,2.0,9,1.0,275.00,0.00,1
53,House,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,14,4.0,10.0,32,4.0,795.00,0.00,1
54,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2019-02-16 05:00:00,2019-02-16 05:00:00,8,4.0,8.0,71,2.0,100.00,0.00,1
55,Apartment,Private room,Real Bed,3,1125,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,1,1.0,1.0,2,1.0,35.00,0.00,1
56,Apartment,Entire home/apt,Real Bed,1,60,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,2.0,145,1.0,997.00,160.00,2
57,House,Entire home/apt,Real Bed,5,1125,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,6,4.0,4.0,0,4.0,999.00,0.00,1
58,Guesthouse,Entire home/apt,Real Bed,2,40,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,146,1.0,129.00,0.00,1
59,Apartment,Entire home/apt,Real Bed,4,90,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,4,1.0,1.0,126,1.0,125.00,30.00,2
60,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,3.0,135,1.0,269.00,42.00,3
61,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,1,1.0,101.00,20.00,1
62,Condominium,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,3.0,19,1.0,229.00,0.00,1
63,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,0,1.0,112.00,0.00,1
64,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,0,1.0,15.00,0.00,1
65,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,4,2.0,2.0,104,1.0,89.00,10.00,2
66,House,Entire home/apt,Real Bed,5,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,11,4.0,8.0,0,7.0,2499.00,0.00,1
67,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,6,2.0,3.0,20,1.0,60.00,8.00,3
68,Apartment,Private room,Real Bed,3,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,31,1.0,105.00,60.00,1
69,Apartment,Private room,Real Bed,3,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,1,1.0,1.0,10,1.0,80.00,0.00,1
70,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,10,1.0,997.00,0.00,1
71,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,17,1.0,385.00,0.00,2
72,Apartment,Entire home/apt,Real Bed,3,40,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,3,1.0,1.0,32,1.0,58.00,20.00,2
73,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,3,1.0,2.0,1,1.0,211.00,89.00,1
74,Apartment,Entire home/apt,Real Bed,2,1124,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,6,3.0,3.0,132,1.0,80.00,10.00,2
75,Guest suite,Private room,Real Bed,3,21,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,167,1.0,139.00,35.00,2
77,Condominium,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,122,1.0,40.00,0.00,1
78,Bed and breakfast,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,9,1.0,138.00,70.00,2
79,Condominium,Entire home/apt,Pull-out Sofa,3,180,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,2.0,32,1.0,95.00,0.00,1
80,Apartment,Entire home/apt,Real Bed,4,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,3,1.0,1.0,0,1.0,298.00,0.00,1
81,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,0.0,1.0,31,1.0,29.00,0.00,2
82,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,2,1.0,85.00,0.00,1
83,Apartment,Entire home/apt,Real Bed,7,365,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,5,2.0,2.0,0,2.0,801.00,0.00,1
84,Apartment,Entire home/apt,Real Bed,2,28,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,4,0.0,2.0,62,1.0,55.00,7.00,2
85,House,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,8,6.0,6.0,0,5.0,1999.00,0.00,1
86,Apartment,Entire home/apt,Real Bed,3,1120,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,5,2.0,3.0,34,2.0,451.00,100.00,4
87,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,3,1.0,1.0,29,1.0,858.00,112.00,3
88,Apartment,Entire home/apt,Real Bed,21,30,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,3,1.0,3.0,45,1.0,212.00,0.00,1
89,Apartment,Entire home/apt,Real Bed,10,90,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,2.0,0,1.0,933.00,0.00,1
90,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,2.0,2.0,1,1.0,37.00,0.00,1
91,Apartment,Entire home/apt,Real Bed,30,365,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,2.0,0,1.0,149.00,40.00,2
92,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,1,1.0,144.00,0.00,1
93,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,8,4.0,6.0,77,2.0,169.00,0.00,10
94,Apartment,Entire home/apt,Real Bed,4,100,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,6,3.0,7.0,13,4.0,933.00,19.00,4
95,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,5,3.0,3.0,1,3.0,298.00,0.00,1
96,House,Entire home/apt,Real Bed,3,25,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,18,1.0,72.00,10.00,2
97,Apartment,Entire home/apt,Real Bed,2,1124,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,0.0,1.0,225,1.0,31.00,0.00,1
98,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,2.0,0,1.0,105.00,0.00,1
99,Apartment,Entire home/apt,Real Bed,5,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,4,1.0,2.0,13,1.0,80.00,0.00,1
100,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,8,3.0,4.0,77,1.0,264.00,36.00,4
101,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,2.0,18,1.0,353.00,50.00,1
102,Apartment,Private room,Real Bed,2,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,1,1.0,20.00,0.00,1
103,Guesthouse,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,114,1.0,120.00,15.00,1
104,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,30.00,15.00,1
105,Apartment,Private room,Real Bed,2,45,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,46,1.0,50.00,10.00,1
106,House,Private room,Real Bed,1,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,84,1.5,65.00,15.00,1
107,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,8,3.0,6.0,139,2.0,399.00,35.00,6
108,Condominium,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,6,2.0,5.0,18,2.0,351.00,0.00,1
109,House,Entire home/apt,Real Bed,2,90,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,11,4.0,6.0,45,2.0,325.00,25.00,8
110,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,6,2.0,3.0,51,1.0,85.00,0.00,6
111,Guest suite,Entire home/apt,Real Bed,3,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,3,0.0,0.0,115,1.0,135.00,25.00,2
112,Apartment,Entire home/apt,Real Bed,2,89,super_strict_30,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,2.0,110,1.0,351.00,60.00,2
113,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,0,1.0,137.00,0.00,1
114,Condominium,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,3,1.0,3.0,191,1.0,40.00,8.00,4
115,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,2.0,6,1.0,417.00,0.00,1
116,Treehouse,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,103,1.5,185.00,0.00,2
117,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,6,3.0,4.0,0,3.0,1999.00,0.00,1
118,Apartment,Private room,Real Bed,4,1125,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,1,1.0,71.00,0.00,1
119,Apartment,Entire home/apt,Real Bed,2,300,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,2.0,117,1.0,175.00,300.00,2
120,House,Private room,Real Bed,1,1125,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,0,1.0,101.00,50.00,1
121,Bungalow,Entire home/apt,Real Bed,2,300,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,2,0.0,1.0,99,1.0,100.00,20.00,1
122,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,2.0,32,2.0,351.00,500.00,4
123,Bed and breakfast,Private room,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,11,1.0,112.00,0.00,2
124,Guest suite,Entire home/apt,Real Bed,2,3,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,5,1.0,4.0,104,1.0,45.00,25.00,2
125,Condominium,Private room,Real Bed,28,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,179,1.0,479.00,150.00,1
126,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,2.0,0,1.0,100.00,0.00,1
127,Condominium,Entire home/apt,Real Bed,2,1125,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,4,2.0,3.0,65,1.5,125.00,0.00,1
128,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,6,2.0,5.0,9,2.0,395.00,35.00,4
129,Apartment,Entire home/apt,Real Bed,5,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,4.0,0,1.0,701.00,0.00,1
130,House,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,10,4.0,6.0,0,6.0,3726.00,0.00,1
131,Apartment,Entire home/apt,Real Bed,200,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,5,4.0,4.0,2,1.0,31.00,0.00,2
132,Apartment,Private room,Real Bed,7,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,1,1.0,1.0,0,1.0,90.00,40.00,1
133,Condominium,Entire home/apt,Real Bed,5,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,3.0,0,1.0,134.00,0.00,1
134,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,5,2.0,3.0,86,1.0,1703.00,100.00,4
135,Apartment,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,3.0,0,2.0,746.00,0.00,1
136,Apartment,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,8,3.0,3.0,89,2.0,250.00,50.00,4
137,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,2.0,0,1.0,172.00,0.00,1
138,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,139,1.0,298.00,0.00,1
139,Townhouse,Entire home/apt,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,4,0.0,2.0,0,1.0,633.00,0.00,1
140,House,Entire home/apt,Real Bed,7,60,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,8,4.0,5.0,3,3.0,500.00,0.00,1
141,Apartment,Private room,Real Bed,1,2147483647,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,3.0,15,1.0,597.00,0.00,1
142,Townhouse,Entire home/apt,Real Bed,7,29,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,2.0,184,1.0,110.00,15.00,2
143,Hostel,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,203,1.0,447.00,0.00,1
144,Hostel,Private room,Real Bed,3,7,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,1,1.0,187.00,0.00,1
145,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,5,3.0,3.0,125,1.5,1146.00,60.00,4
146,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,60,1.0,125.00,0.00,1
147,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,18,1.0,1484.00,0.00,1
148,House,Entire home/apt,Real Bed,2,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,4,2.0,2.0,15,1.0,359.00,60.00,2
149,Apartment,Private room,Real Bed,2,30,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,241,1.0,47.00,15.00,1
150,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,2,2.0,149.00,80.00,1
151,Apartment,Entire home/apt,Real Bed,3,365,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,7,3.0,7.0,129,2.0,130.00,35.00,4
152,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,1,1.0,1.0,0,1.0,53.00,0.00,1
153,Condominium,Private room,Real Bed,2,30,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,72,1.0,447.00,0.00,2
154,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,2748.00,0.00,1
155,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,0,1.0,40.00,0.00,1
156,Apartment,Private room,Real Bed,14,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,1,1.0,21.00,0.00,1
157,Apartment,Entire home/apt,Real Bed,4,1124,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,4,2.0,2.0,130,1.0,84.00,25.00,2
158,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,108,1.0,25.00,20.00,1
159,Apartment,Entire home/apt,Real Bed,4,28,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,3,1.0,1.0,215,1.0,189.00,10.00,2
160,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,105,1.0,400.00,0.00,1
161,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,206,1.0,463.00,80.00,2
162,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,0,1.5,60.00,0.00,1
163,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,6,2.0,3.0,0,2.0,91.00,0.00,1
164,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,4,2.0,3.0,1,2.0,91.00,0.00,1
165,Apartment,Private room,Real Bed,7,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,1,1.0,1.0,1,1.0,47.00,0.00,1
