,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
928,Guesthouse,Entire home/apt,Real Bed,2,60,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,1,1.0,142.00,0.00,1
929,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,6,3.0,6.0,1,2.0,62.00,0.00,1
930,Apartment,Entire home/apt,Real Bed,3,90,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,3.0,6,1.0,88.00,10.00,2
931,House,Private room,Real Bed,2,21,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,133,1.0,100.00,15.00,2
932,Apartment,Entire home/apt,Real Bed,7,90,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,2.0,3.0,4,1.0,115.00,15.00,4
933,Condominium,Entire home/apt,Real Bed,3,730,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,121,1.0,85.00,0.00,1
934,Condominium,Entire home/apt,Real Bed,4,7,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,4,0.0,2.0,0,1.0,305.00,0.00,1
935,Other,Private room,Real Bed,1,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,1,1.0,1.0,3,1.0,15.00,0.00,1
936,Apartment,Entire home/apt,Real Bed,31,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,4,2.0,3.0,3,1.0,140.00,0.00,1
937,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,1,1.0,0.0,66,1.0,78.00,30.00,1
938,Apartment,Private room,Real Bed,6,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,0,1.0,132.00,0.00,1
939,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,6,2.0,3.0,12,2.0,201.00,49.00,4
940,House,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,2.0,2.0,38,2.0,200.00,0.00,2
941,Apartment,Private room,Real Bed,6,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,1374.00,0.00,1
942,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,2.0,31,1.0,71.00,0.00,1
943,Apartment,Private room,Real Bed,2,20,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,6,1.0,138.00,0.00,1
944,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,6,3.0,4.0,78,2.0,99.00,50.00,2
945,Apartment,Entire home/apt,Real Bed,30,1124,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,6,2.0,3.0,6,1.0,997.00,100.00,5
946,Apartment,Private room,Real Bed,2,25,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,1,1.0,1.0,94,1.0,43.00,100.00,1
947,Apartment,Entire home/apt,Real Bed,2,7,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,3,1.0,190.00,0.00,1
948,Apartment,Entire home/apt,Real Bed,2,15,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,6,1.0,179.00,0.00,1
949,Apartment,Entire home/apt,Real Bed,2,190,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,8,2.0,5.0,46,1.0,101.00,60.00,2
950,Apartment,Entire home/apt,Real Bed,3,120,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,2.0,2.0,97,1.0,58.00,7.00,2
951,Apartment,Entire home/apt,Real Bed,5,30,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,0.0,1.0,21,1.0,110.00,0.00,1
952,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,5,0.0,1.0,45,1.0,50.00,20.00,2
953,Condominium,Entire home/apt,Real Bed,3,90,super_strict_60,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,1.0,3,1.0,143.00,10.00,2
954,Apartment,Entire home/apt,Real Bed,2,5,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,1,1.0,81.00,10.00,1
955,Serviced apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,4,1.0,2.0,5,1.0,195.00,15.00,2
956,Apartment,Private room,Real Bed,3,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,1,1.0,40.00,0.00,1
957,Apartment,Entire home/apt,Real Bed,14,350,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,9,1.0,573.00,0.00,1
958,House,Private room,Real Bed,1,1125,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,63,1.0,31.00,0.00,1
959,Apartment,Private room,Real Bed,3,1125,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,2.0,69,1.0,60.00,73.00,1
960,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,5,1.0,100.00,0.00,1
961,House,Entire home/apt,Real Bed,3,1125,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,8,3.0,3.0,1,3.0,350.00,0.00,1
962,House,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,10,4.0,5.0,42,3.5,450.00,0.00,1
963,Loft,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,0.0,1.0,22,1.0,172.00,25.00,2
964,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,7,2.0,5.0,96,1.0,429.00,0.00,5
965,Townhouse,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,17,1.5,75.00,20.00,1
966,Villa,Private room,Real Bed,2,15,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,89,1.0,95.00,0.00,1
967,Apartment,Private room,Real Bed,4,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,1,1.0,1.0,15,1.0,15.00,0.00,1
968,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,9,1.0,151.00,0.00,1
969,Guest suite,Entire home/apt,Real Bed,2,14,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,71,1.0,130.00,25.00,2
970,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,0,1.0,596.00,0.00,1
971,Apartment,Entire home/apt,Real Bed,3,31,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,5,3.0,4.0,226,1.0,85.00,25.00,4
972,Guesthouse,Entire home/apt,Real Bed,2,14,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,22,1.0,115.00,100.00,2
973,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,1,1.0,1.0,115,2.0,18.00,0.00,1
974,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,57,1.0,30.00,0.00,1
975,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,6,3.0,5.0,117,2.0,150.00,25.00,4
976,Apartment,Entire home/apt,Real Bed,30,365,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,5,3.0,2.0,0,1.5,459.00,0.00,1
977,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,2.0,7,1.0,67.00,0.00,1
978,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,3,2.0,2.0,1,1.0,38.00,0.00,1
979,Apartment,Entire home/apt,Real Bed,3,20,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,3,1.0,1.0,149,1.0,200.00,40.00,2
980,Apartment,Entire home/apt,Real Bed,7,89,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,9,3.0,5.0,2,1.0,250.00,17.00,2
981,Apartment,Private room,Real Bed,6,26,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,2.0,17,1.0,130.00,0.00,1
982,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,4.0,2,1.0,298.00,100.00,2
983,Apartment,Private room,Real Bed,1,15,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,23,1.0,23.00,15.00,1
984,Apartment,Private room,Real Bed,2,365,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,2,1.5,46.00,15.00,1
985,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,3,0.0,2.0,94,1.0,80.00,0.00,1
986,Guest suite,Private room,Real Bed,2,7,flexible,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,68,1.0,25.00,5.00,1
987,Apartment,Entire home/apt,Real Bed,1,90,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,60.00,0.00,1
988,Apartment,Private room,Real Bed,30,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,1,1.0,1.0,1,1.0,55.00,0.00,1
989,Apartment,Entire home/apt,Real Bed,2,365,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,6,2.0,3.0,81,1.0,170.00,25.00,4
990,Townhouse,Entire home/apt,Real Bed,6,15,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,5,2.0,3.0,2,2.5,228.00,30.00,3
991,Tiny house,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,2.0,31,1.0,125.00,15.00,2
992,Apartment,Private room,Real Bed,2,60,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,1,1.0,1.0,35,1.0,18.00,0.00,1
993,Apartment,Private room,Real Bed,2,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,27,1.0,32.00,10.00,1
994,Boat,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,24,1.0,35.00,15.00,1
995,Loft,Private room,Real Bed,2,10,flexible,2019-02-16 05:00:00,2019-02-16 05:00:00,4,2.0,2.0,19,1.5,22.00,27.00,2
996,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,2.0,1.0,9,1.0,801.00,200.00,1
997,Apartment,Private room,Real Bed,3,31,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,1,1.0,1.0,115,1.0,55.00,0.00,1
998,Loft,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,3,0.0,1.0,83,1.0,137.00,0.00,1
999,Apartment,Private room,Real Bed,3,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,1,1.0,1.0,0,1.0,100.00,0.00,1
1000,Apartment,Entire home/apt,Real Bed,5,12,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,2,1.0,115.00,50.00,2
1001,Apartment,Private room,Real Bed,2,9,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,0,1.0,200.00,0.00,1
1002,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,3,0.0,1.0,30,1.0,110.00,0.00,1
1003,Apartment,Private room,Real Bed,7,45,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,1,1.0,1.0,67,1.0,39.00,20.00,1
1004,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,4,1.0,2.0,31,1.0,60.00,0.00,1
1005,Apartment,Entire home/apt,Real Bed,2,1124,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,9,3.0,6.0,43,2.0,1562.00,79.00,1
1006,Apartment,Entire home/apt,Real Bed,3,1000,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,10,4.0,7.0,25,2.0,209.00,0.00,1
1007,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,5,0.0,4.0,39,1.0,264.00,26.00,2
1008,Apartment,Private room,Real Bed,5,32,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,37,1.0,40.00,20.00,1
